Date,Customer Name,Delarship,Year,Make,Model,KM,COLOR,Service Ready Time,Delivery Date,Day,Sales Rep,Type oF Payment,Licensing Instructions,,,,
"Saturday, February 24, 2024",Svitlana,Toronto,2006,Chevrolet,Jetta,61846,WHITE,9:00:00,12:00:00,"Thursday, February 1, 2024",Charlotte Adams,C,NEW PLATES,,,,
"Saturday, February 24, 2024",JENO,Vancouver,2015,Nissan,Murano,18402,WHITE,8:00:00,11:00:00,"Thursday, February 1, 2024",Henry Walker,F,NEW PLATES,,,,
"Saturday, February 24, 2024",bradon,Vancouver,2007,Volkswagen,3 Series,72008,WHITE,11:00:00,14:00:00,"Thursday, February 1, 2024",Liam Johnson,C,NEW PLATES,,,,
"Saturday, February 24, 2024",DUSHI ,Vancouver,2011,Subaru,Impreza,45541,BLACK,12:00:00,15:00:00,"Thursday, February 1, 2024",Harper Wright,F,NEW PLATES,,,,
"Saturday, February 24, 2024",Adil ,Vancouver,2002,Nissan,Pathfinder,62017,WHITE,12:00:00,15:00:00,"Thursday, February 1, 2024",Henry Walker,F,NEW PLATES,,,,
"Saturday, February 24, 2024",FESLAMI,Vancouver,2020,Chevrolet,Silverado,37562,BLACK,12:00:00,15:00:00,"Thursday, February 1, 2024",Harper Wright,C,NEW PLATES,,,,
"Saturday, February 24, 2024",OMAID,Vancouver,2010,Mercedes,C-Class,224434,WHITE,11:00:00,15:00:00,"Thursday, February 1, 2024",Sebastian King,C,TEMP PLATES,,,,
"Saturday, February 24, 2024",BHAGWANT,Vancouver,2018,Chevrolet,Forester,61615,BLACK,13:00:00,16:00:00,"Thursday, February 1, 2024",Sebastian King,C,TRANSFER PLATES,,,,
"Saturday, February 24, 2024",RICHARD,Vancouver,2020,Toyota,F-150,67690,WHITE,13:00:00,16:00:00,"Thursday, February 1, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Saturday, February 24, 2024",MOSE,Vancouver,2007,BMW,X3,67729,BLUE ,15:00:00,18:00:00,"Thursday, February 1, 2024",Sebastian King,F,NEW PLATES,,,,
"Saturday, February 24, 2024",GEORGE,Alberta,2019,Ford,Mustang,93560,WHITE,15:00:00,18:00:00,"Thursday, February 1, 2024",Henry Walker,F,NEW PLATES,,,,
"Saturday, February 24, 2024",RUBEN ,Alberta,2018,Volkswagen,Passat,31012,WHITE,15:00:00,18:00:00,"Thursday, February 1, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Saturday, February 24, 2024",NITMIT,Alberta,2003,Hyundai,Malibu,68893,WHITE,15:00:00,18:00:00,"Thursday, February 1, 2024",Lucas Clark,F,NEW PLATES,,,,
"Saturday, February 24, 2024",TRISHA,Toronto,2006,Chevrolet,GLA,64285,WHITE,10:00:00,13:00:00,"Friday, February 2, 2024",James Thompson,C,NEW PLATES,,,,
"Saturday, February 24, 2024",ADIL,Toronto,2006,Mercedes,GLE,59355,WHITE,13:00:00,18:00:00,"Friday, February 2, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Saturday, February 24, 2024",JACK,Vancouver,2006,Chevrolet,Camry,45225,RED,8:00:00,11:00:00,"Friday, February 2, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Saturday, February 24, 2024",LEO,Vancouver,2023,Mercedes,GLE,41390,BLUE,12:00:00,15:00:00,"Friday, February 2, 2024",Henry Walker,C,NEW PLATES,,,,
"Saturday, February 24, 2024",Daniel,Vancouver,2011,Honda,Pilot,17532,BLACK,11:00:00,14:00:00,"Friday, February 2, 2024",Sebastian King,F,NEW PLATES,,,,
"Saturday, February 24, 2024",NIMISH ,Alberta,2022,Nissan,Altima,44608,BLACK,14:00:00,17:00:00,"Friday, February 2, 2024",Sebastian King,F,NEW PLATES,,,,
"Saturday, February 24, 2024",KARAN,Toronto,2013,Volkswagen,Jetta,62461,GRAY,10:00:00,13:00:00,"Monday, February 5, 2024",Charlotte Adams,C,NEW PLATES,,,,
"Saturday, February 24, 2024",SARBJEET ,Toronto,2013,Chevrolet,Forester,37977,GRAY,8:00:00,11:00:00,"Monday, February 5, 2024",James Thompson,C,NEW PLATES,,,,
"Saturday, February 24, 2024",Armin,Vancouver,2004,Nissan,Altima,71995,GRAY,12:00:00,15:00:00,"Monday, February 5, 2024",Lucas Clark,C,TRANSFER PLATES,,,,
